scenario,seed,cumulative_reward,mean_temp,max_temp,mean_fan,warning_entries,critical_entries,controller,perturbation
baseline,2000,-10.878,68.37781985197702,71.39214181137085,59.93333333333333,0,0,mpc_rc,action_delay
baseline,2001,235.8394763011898,60.888109620029454,63.328342781066894,59.919328969319665,0,0,mpc_rc,action_delay
baseline,2002,-10.878,69.9374081929016,73.0712258605957,59.93333333333333,0,0,mpc_rc,action_delay
baseline,2003,-6.814055725097656,66.92534325228374,69.82838703155518,59.93333333333333,0,0,mpc_rc,action_delay
baseline,2004,-10.878,68.69774683442435,71.73658925247193,59.93333333333333,0,0,mpc_rc,action_delay
baseline,2005,220.62464433047182,61.143374125989276,63.59701102256775,59.61879533131917,0,0,mpc_rc,action_delay
baseline,2006,152.9290864867853,62.269885221969595,64.8161925392151,59.93183380126953,0,0,mpc_rc,action_delay
baseline,2007,-10.878,69.73423770880382,72.85250135421752,59.93333333333333,0,0,mpc_rc,action_delay
baseline,2008,123.97093001184939,62.764476357699074,65.34867915344238,59.93329752604166,0,0,mpc_rc,action_delay
baseline,2009,354.9287725441636,58.90327335083771,61.1914151058197,59.92372071584066,0,0,mpc_rc,action_delay
baseline,2000,1002.278727627265,48.30439267406875,71.04571559262276,59.9311696879069,0,0,mpc_rcnn,action_delay
baseline,2001,1127.1782198534456,46.03239644357923,63.069851026535034,59.93331473032634,0,0,mpc_rcnn,action_delay
baseline,2002,980.4251723980251,48.7731782124371,72.70644910025597,59.933315162658694,0,0,mpc_rcnn,action_delay
baseline,2003,1023.757449100863,47.86713814255055,69.49905089497567,59.92800552368164,0,0,mpc_rcnn,action_delay
baseline,2004,997.6988995726648,48.40058977875459,71.38639855337144,59.93332398732503,0,0,mpc_rcnn,action_delay
baseline,2005,1122.5889036258009,46.108899093903126,63.335530989170074,59.93086547851563,0,0,mpc_rcnn,action_delay
baseline,2006,1101.7960589800425,46.455440854826655,64.54136583375931,59.93186121622721,0,0,mpc_rcnn,action_delay
baseline,2007,983.2499950364685,48.71160205164229,72.49011500835418,59.91291230519612,0,0,mpc_rcnn,action_delay
baseline,2008,1092.7515480127763,46.60640115029343,65.06807923150062,59.93332993825277,0,0,mpc_rcnn,action_delay
baseline,2009,1163.906200055174,45.42026339398297,60.956691433548926,59.93332275390625,0,0,mpc_rcnn,action_delay
baseline,2000,-2.7767300605773926,69.66991188900566,71.39214181137085,28.994956696828208,0,0,rl_rc,action_delay
baseline,2001,168.49862670898438,62.14333245361583,63.328342781066894,29.751797688802082,0,0,rl_rc,action_delay
baseline,2002,-2.870460033416748,71.22940570492872,73.0712258605957,28.965109640757245,0,0,rl_rc,action_delay
baseline,2003,-2.7889792919158936,68.21422320760408,69.82838703155518,29.07988665898641,0,0,rl_rc,action_delay
baseline,2004,-2.7768192291259766,69.98953411202177,71.73658925247193,28.990688343048095,0,0,rl_rc,action_delay
baseline,2005,153.5463409423828,62.39251882775307,63.59701102256775,29.75543394088745,0,0,rl_rc,action_delay
baseline,2006,85.26995849609375,63.530727768282574,64.8161925392151,29.651940511067707,0,0,rl_rc,action_delay
baseline,2007,-2.821889638900757,71.0262281726284,72.85250135421752,28.968014583587646,0,0,rl_rc,action_delay
baseline,2008,56.35414123535156,64.03004732715097,65.34867915344238,29.567220408121745,0,0,rl_rc,action_delay
baseline,2009,287.67791748046875,60.15690462266986,61.1914151058197,29.781697991689047,0,0,rl_rc,action_delay
baseline,2000,917.683349609375,49.86613628651823,71.04571559262276,27.4900980313619,0,0,rl_rcnn,action_delay
baseline,2001,1049.5145263671875,47.46588510735552,63.069851026535034,27.437053680419922,0,0,rl_rcnn,action_delay
baseline,2002,894.4522705078125,50.36809523651549,72.70644910025597,27.50226485570272,0,0,rl_rcnn,action_delay
baseline,2003,940.5922241210938,49.39841970387398,69.49905089497567,27.481997210184733,0,0,rl_rcnn,action_delay
baseline,2004,912.7955322265625,49.96930051226743,71.38639855337144,27.491676877339682,0,0,rl_rcnn,action_delay
baseline,2005,1044.49365234375,47.548149486061035,63.335530989170074,27.416918118794758,0,0,rl_rcnn,action_delay
baseline,2006,1022.8768920898438,47.909259394356496,64.54136583375931,27.432039693196614,0,0,rl_rcnn,action_delay
baseline,2007,897.2423095703125,50.304749701715316,72.49011500835418,27.489221604665122,0,0,rl_rcnn,action_delay
baseline,2008,1013.6049194335938,48.06456777732396,65.06807923150062,27.454485944112143,0,0,rl_rcnn,action_delay
baseline,2009,1087.29443359375,46.83509922217053,60.956691433548926,27.412467568715414,0,0,rl_rcnn,action_delay
