rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef
1831.5363526,1999,300.0,115,25,-1.0129525661468506,3000,-5.407086372375488,10,0.005382072646170855,0.0003,0.5489568710327148
1796.03633735,4999,300.0,95,62,-2.5330185890197754,6000,-7.872700214385986,20,0.0010930539574474096,0.0003,0.22317355871200562
1771.2594336999998,7999,300.0,88,101,-4.011664390563965,9000,-8.327083587646484,30,0.000594543875195086,0.0003,0.09073719382286072
1744.2032638,10999,300.0,87,137,-5.550939083099365,12000,-8.019973754882812,40,0.00034723011776804924,0.0003,0.03689618408679962
1747.3389811200002,13999,300.0,85,174,-7.029353618621826,15000,-7.538754463195801,50,0.0003310823522042483,0.0003,0.015012593939900398
1766.3252232166667,16999,300.0,85,211,-8.488054275512695,18000,-6.878730297088623,60,0.0002831255551427603,0.0003,0.00612011831253767
1783.0994158142855,19999,300.0,84,249,-9.244392395019531,21000,-6.3566508293151855,70,0.0001114859405788593,0.0003,0.0025262050330638885
1799.0329681750002,22999,300.0,83,287,-9.494095802307129,24000,-5.959648132324219,80,0.0001146533468272537,0.0003,0.001067421049810946
1794.8592960555557,25999,300.0,83,324,-5.67086124420166,27000,-5.509313583374023,90,9.167153621092439e-05,0.0003,0.0004861492197960615
1810.7392774799998,28999,300.0,82,362,-2.275660276412964,30000,-5.231561183929443,100,3.9095961255952716e-05,0.0003,0.0002461624681018293
1802.3600143499998,31999,300.0,82,399,0.22102704644203186,33000,-4.836173057556152,110,5.304923979565501e-05,0.0003,0.00019103148952126503
1792.51849983,34999,300.0,82,436,0.02747143805027008,36000,-4.7524566650390625,120,5.6892866268754005e-05,0.0003,0.00021998539159540087
1799.4688623200004,37999,300.0,82,474,0.47386956214904785,39000,-4.461840629577637,130,3.061533789150417e-05,0.0003,0.00027955565019510686
1827.9724697200002,40999,300.0,81,512,0.21642941236495972,42000,-4.267514228820801,140,4.2739950004033744e-05,0.0003,0.00029142608400434256
1845.5965353100003,43999,300.0,81,551,-0.25964492559432983,45000,-4.194492816925049,150,2.849455995601602e-05,0.0003,0.00032430910505354404
1865.9806521100002,46999,300.0,81,588,0.7020789384841919,48000,-4.094271659851074,160,1.5309116861317307e-05,0.0003,0.00033893901854753494
1878.0467893300001,49999,300.0,81,628,-0.23666024208068848,51000,-4.01895809173584,170,4.8274134314851835e-05,0.0003,0.0003452777455095202
1881.45137232,52999,300.0,80,667,0.5900883078575134,54000,-3.8493709564208984,180,2.2681218979414552e-05,0.0003,0.0003488612128421664
1917.9811844300002,55999,300.0,80,706,-0.11047667264938354,57000,-3.7575221061706543,190,3.611257125157863e-05,0.0003,0.0003294432535767555
1895.34461805,58999,300.0,80,745,0.9220059514045715,60000,-3.692643642425537,200,4.4705513573717326e-05,0.0003,0.00032967646257020533
1911.02373513,61999,300.0,80,783,0.2278134822845459,63000,-3.5783963203430176,210,5.48630123375915e-05,0.0003,0.00034132529981434345
1927.33687659,64999,300.0,80,820,0.24406832456588745,66000,-3.5577025413513184,220,6.163858051877469e-05,0.0003,0.0003384714655112475
1939.4113072100001,67999,300.0,80,858,0.8448802828788757,69000,-3.4966230392456055,230,1.3046528692939319e-05,0.0003,0.0003666344564408064
1931.9142805299998,70999,300.0,80,894,0.07427440583705902,72000,-3.535517692565918,240,1.5788607925060205e-05,0.0003,0.0003577119787223637
1942.9956924500002,73999,300.0,80,932,-0.9071563482284546,75000,-3.430863857269287,250,2.49332697421778e-05,0.0003,0.0003476713318377733
1925.86515623,76999,300.0,80,968,0.3176170587539673,78000,-3.5012130737304688,260,1.0794112313305959e-05,0.0003,0.00034044834319502115
1925.49506694,79999,300.0,80,1002,-0.4760832190513611,81000,-3.377070903778076,270,3.3794618502724916e-05,0.0003,0.0003133485442958772
1903.8306529,82999,300.0,80,1038,0.22390134632587433,84000,-3.4087276458740234,280,1.4955094229662791e-05,0.0003,0.00033527103369124234
1865.5080429,85999,300.0,80,1075,0.7811324000358582,87000,-3.432435989379883,290,8.767834515310824e-06,0.0003,0.00032851711148396134
1863.8360085899997,88999,300.0,80,1112,-0.2461889535188675,90000,-3.355433940887451,300,1.529119435872417e-05,0.0003,0.00032717548310756683
1864.9755119899999,91999,300.0,80,1148,-0.9966691136360168,93000,-3.4022297859191895,310,3.335026485729031e-05,0.0003,0.00032990670297294855
1884.0779680500002,94999,300.0,80,1186,-0.16032609343528748,96000,-3.423154592514038,320,1.5872743460931815e-05,0.0003,0.0003237065684515983
1868.8219204399998,97999,300.0,80,1223,0.19745886325836182,99000,-3.376573324203491,330,3.5299126466270536e-05,0.0003,0.00032463957904838026
1881.33483144,100999,300.0,80,1261,-0.10542479157447815,102000,-3.381944179534912,340,2.26677002501674e-05,0.0003,0.0003350977785885334
1872.0842806199998,103999,300.0,80,1299,1.5827746391296387,105000,-3.38755464553833,350,9.41388680075761e-06,0.0003,0.0003432463272474706
1861.8349672399997,106999,300.0,80,1337,0.7921895980834961,108000,-3.3471837043762207,360,3.807019766099984e-06,0.0003,0.0003715501807164401
1851.13506474,109999,300.0,80,1376,-2.201467752456665,111000,-3.3718018531799316,370,1.1811051081167534e-05,0.0003,0.00038010903517715633
1879.37827318,112999,300.0,80,1413,-0.3821744918823242,114000,-3.315535306930542,380,6.86456723997253e-06,0.0003,0.00037945923395454884
1902.69834364,115999,300.0,80,1452,-0.07071572542190552,117000,-3.3433754444122314,390,1.9922983483411372e-05,0.0003,0.00040175378671847284
1913.2204104200002,118999,300.0,80,1491,-0.9025970697402954,120000,-3.3689565658569336,400,7.2427028499078006e-06,0.0003,0.00041595910442993045
1893.6036382999996,121999,300.0,80,1529,0.6116239428520203,123000,-3.376286029815674,410,1.0697166544559877e-05,0.0003,0.00043407597695477307
1887.8920773099996,124999,300.0,80,1564,-0.3867986798286438,126000,-3.3495864868164062,420,5.634615263261367e-06,0.0003,0.0004660898994188756
1891.74803598,127999,300.0,80,1601,0.37652602791786194,129000,-3.34552001953125,430,1.1517497114255093e-05,0.0003,0.0004623573331627995
1901.3179075899998,130999,300.0,80,1638,-0.43322524428367615,132000,-3.3395252227783203,440,2.157764174626209e-05,0.0003,0.0004671060014516115
1881.6530260900001,133999,300.0,80,1677,-2.5914642810821533,135000,-3.2890641689300537,450,8.215704838221427e-06,0.0003,0.00046479684533551335
1897.44842137,136999,300.0,80,1714,0.28404226899147034,138000,-3.32448148727417,460,1.8281241864315234e-05,0.0003,0.0004519747453741729
1913.58150106,139999,300.0,80,1750,-1.4889862537384033,141000,-3.338667869567871,470,1.1262307452852838e-05,0.0003,0.00043083904893137515
1895.2136064699998,142999,300.0,80,1789,0.6371959447860718,144000,-3.293707847595215,480,3.719562300830148e-06,0.0003,0.00044479104690253735
1870.1526142599998,145999,300.0,80,1828,-0.48383456468582153,147000,-3.331677198410034,490,8.851466191117652e-06,0.0003,0.0004811023536603898
1890.2297016999996,148999,300.0,80,1866,0.37354451417922974,150000,-3.297142744064331,500,1.1054507922381163e-05,0.0003,0.0004499963251873851
1907.4375940700002,151999,300.0,80,1904,0.03151810169219971,153000,-3.3465518951416016,510,4.04878483095672e-06,0.0003,0.0004612486227415502
1914.13670217,154999,300.0,80,1942,0.21593132615089417,156000,-3.272510290145874,520,9.389128535985947e-06,0.0003,0.0004514517495408654
1917.4144776300004,157999,300.0,80,1980,0.1928010880947113,159000,-3.2752857208251953,530,6.247615147003671e-06,0.0003,0.000462522468296811
1898.8958139099998,160999,300.0,80,2018,2.013444662094116,162000,-3.306028366088867,540,2.3866678020567633e-05,0.0003,0.00044497434282675385
1897.5411420099997,163999,300.0,80,2056,0.5775543451309204,165000,-3.305277109146118,550,4.873284524364863e-06,0.0003,0.0004367693036329001
1899.37188168,166999,300.0,80,2095,0.6154276728630066,168000,-3.371654987335205,560,2.666222144398489e-06,0.0003,0.00043697221553884447
1889.3461543800001,169999,300.0,80,2132,0.8921103477478027,171000,-3.238769054412842,570,3.018234929186292e-05,0.0003,0.000444268953287974
1899.0455743700002,172999,300.0,80,2170,-0.4850243031978607,174000,-3.25618839263916,580,2.1158906747587025e-05,0.0003,0.0004466496466193348
1929.6403965200004,175999,300.0,80,2208,0.854925274848938,177000,-3.363339900970459,590,6.661986844846979e-06,0.0003,0.00044283707393333316
1910.0923151200002,178999,300.0,80,2248,-0.5594596862792969,180000,-3.342416763305664,600,3.021538077518926e-06,0.0003,0.00045986243640072644
1927.7548834599997,181999,300.0,79,2287,0.34723883867263794,183000,-3.316441535949707,610,4.865693881583866e-06,0.0003,0.00043429728248156607
1924.2944235599998,184999,300.0,79,2326,-0.5522420406341553,186000,-3.337904930114746,620,7.259634003276005e-06,0.0003,0.00043620276846922934
1941.8731920299997,187999,300.0,79,2365,-0.2538445293903351,189000,-3.3441686630249023,630,4.751069354824722e-06,0.0003,0.0004536169290076941
1941.46266217,190999,300.0,79,2403,0.6738245487213135,192000,-3.3479766845703125,640,3.5855669011652935e-06,0.0003,0.0004522994568105787
1950.81102333,193999,300.0,79,2440,1.3218989372253418,195000,-3.353933334350586,650,7.806823305145372e-06,0.0003,0.000470273953396827
1945.09217893,196999,300.0,79,2479,0.3335241973400116,198000,-3.329318046569824,660,1.9582985260058194e-06,0.0003,0.00046217592898756266
