scenario,seed,shield,initial_temp,cumulative_reward,mean_temp,max_temp,mean_fan,std_fan,warning_violations,critical_violations,emergency_violations,safety_interventions,intervention_rate,episode,emergency_overrides,min_cooling_enforced,rate_limited
baseline,2000,none,71.41034698486328,896.04052734375,50.4043083190918,71.41034698486328,26.73935947418213,1.6566544758740833,0,0,0,0,0.0,1,,,
baseline,2000,active,71.41034698486328,896.04052734375,50.425106048583984,77.1921157836914,26.818799533843993,2.1308753478133546,0,0,0,0,0.0,1,0.0,0.0,0.0
baseline,2001,none,63.34251403808594,992.9411010742188,48.557594299316406,68.92465209960938,26.69981767654419,1.7224661755362731,0,0,0,0,0.0,2,,,
baseline,2001,active,63.34251403808594,992.9411010742188,48.55290222167969,67.51261138916016,26.779325224558512,2.183853005114957,0,0,0,0,0.0,2,0.0,0.0,0.0
baseline,2002,none,73.09027099609375,926.5126953125,50.05662536621094,77.20345306396484,26.865960318247478,1.72009371988577,0,0,0,0,0.0,3,,,
baseline,2002,active,73.09027099609375,926.5126953125,50.064273834228516,79.50562286376953,26.9461864789327,2.1756207115345307,0,0,0,0,0.0,3,0.0,0.0,0.0
baseline,2003,none,69.84580993652344,1023.92578125,48.15350341796875,69.84580993652344,26.797044099171956,1.7264970032492,0,0,0,0,0.0,4,,,
baseline,2003,active,69.84580993652344,1023.92578125,48.15565490722656,69.84580993652344,26.87656976064046,2.183490131388573,0,0,0,0,0.0,4,0.0,0.0,0.0
baseline,2004,none,71.75496673583984,578.8458862304688,55.75312042236328,73.92627716064453,26.523026847839354,1.6404535519973207,0,0,0,0,0.0,5,,,
baseline,2004,active,71.75496673583984,578.8458862304688,55.750362396240234,73.09761047363281,26.60259895324707,2.1263735591923405,0,0,0,0,0.0,5,0.0,0.0,0.0
baseline,2005,none,63.6113166809082,736.7434692382812,52.77257537841797,63.6113166809082,26.258576030731202,1.5241617115334878,0,0,0,0,0.0,6,,,
baseline,2005,active,63.6113166809082,736.7434692382812,52.770992279052734,63.6113166809082,26.338814233144124,2.0481988135616858,0,0,0,0,0.0,6,0.0,0.0,0.0
baseline,2006,none,64.83110809326172,314.47088623046875,59.79430389404297,73.66448974609375,26.727273406982423,1.5279744758742675,0,0,0,0,0.0,7,,,
baseline,2006,active,64.83110809326172,314.47088623046875,59.769927978515625,66.32673645019531,26.805636711120606,2.033169561329947,0,0,0,0,0.0,7,0.0,0.0,0.0
baseline,2007,none,72.8714370727539,879.4050903320312,50.835758209228516,74.33065795898438,26.873671073913574,1.6534509484826854,0,0,0,0,0.0,8,,,
baseline,2007,active,72.8714370727539,879.4050903320312,50.82088851928711,72.8714370727539,26.95384433746338,2.123057502340276,0,0,0,0,0.0,8,0.0,0.0,0.0
baseline,2008,none,65.36386108398438,1348.592529296875,42.70487594604492,74.32673645019531,26.372944056193035,2.0364715656863526,0,0,0,0,0.0,9,,,
baseline,2008,active,65.36386108398438,1348.592529296875,42.70520782470703,74.42655944824219,26.453811314900715,2.449516963825114,0,0,0,0,0.0,9,0.0,0.0,0.0
baseline,2009,none,61.20451736450195,889.2255249023438,50.23079299926758,61.20451736450195,26.16160458246867,1.567822134573885,0,0,0,0,0.0,10,,,
baseline,2009,active,61.20451736450195,889.2255249023438,50.271278381347656,72.69091796875,26.242198238372804,2.084566279076787,0,0,0,0,0.0,10,0.0,0.0,0.0
thermal_high_start,2000,none,82.85258483886719,226.19683837890625,60.18025207519531,82.85258483886719,26.351875648498535,0.6860357652717504,10,0,0,0,0.0,1,,,
thermal_high_start,2000,active,82.85258483886719,255.8623046875,59.96403884887695,84.66024017333984,28.240884596506756,6.197173685133411,9,0,0,23,0.0,1,0.0,0.0,0.0
thermal_high_start,2001,none,80.83562469482422,417.1324768066406,59.729637145996094,82.92639923095703,26.90192839940389,0.6446032677927324,4,0,0,0,0.0,2,,,
thermal_high_start,2001,active,80.83562469482422,421.1451416015625,59.602333068847656,81.03962707519531,28.275284061431886,4.582875949713614,4,0,0,20,0.0,2,0.0,0.0,0.0
thermal_high_start,2002,none,83.27256774902344,312.646240234375,57.454132080078125,83.27256774902344,26.503084290822347,0.7767879976416626,10,0,0,0,0.0,3,,,
thermal_high_start,2002,active,83.27256774902344,357.55645751953125,57.21136474609375,83.8663558959961,28.367469533284506,6.112592609384765,9,0,0,22,0.0,3,0.0,0.0,0.0
thermal_high_start,2003,none,82.4614486694336,450.4432067871094,57.52224349975586,82.4614486694336,26.327917626698813,0.6661148194979597,8,0,0,0,0.0,4,,,
thermal_high_start,2003,active,82.4614486694336,473.7778015136719,57.28279495239258,84.6802749633789,27.92566599527995,5.601114463469227,7,0,0,20,0.0,4,0.0,0.0,0.0
thermal_high_start,2004,none,82.9387435913086,-17.35089111328125,63.77702713012695,82.9387435913086,26.299962437947592,0.7634999348235956,11,0,0,0,0.0,5,,,
thermal_high_start,2004,active,82.9387435913086,-9.5120849609375,63.76606750488281,84.16875457763672,28.672392094930014,6.860028315155571,11,0,0,30,0.0,5,0.0,0.0,0.0
thermal_high_start,2005,none,80.90283203125,295.790771484375,61.84003829956055,84.17188262939453,26.146005516052245,0.5762205115161555,4,0,0,0,0.0,6,,,
thermal_high_start,2005,active,80.90283203125,294.2614440917969,61.86825942993164,82.48538208007812,27.67511878967285,5.167205350209695,5,0,0,22,0.0,6,0.0,0.0,0.0
thermal_high_start,2006,none,81.20777893066406,34.384010314941406,67.36415100097656,82.86880493164062,26.334595985412598,0.6512634161544111,7,0,0,0,0.0,7,,,
thermal_high_start,2006,active,81.20777893066406,33.2689094543457,67.30481719970703,83.8834457397461,28.52680637359619,6.070124432020747,7,0,0,33,0.0,7,0.0,0.0,0.0
thermal_high_start,2007,none,83.21785736083984,278.86358642578125,58.14033889770508,83.21785736083984,26.579876956939696,0.7841584683486573,10,0,0,0,0.0,8,,,
thermal_high_start,2007,active,83.21785736083984,323.2458801269531,57.897300720214844,83.21785736083984,28.494340235392254,6.12588662116566,9,0,0,23,0.0,8,0.0,0.0,0.0
thermal_high_start,2008,none,81.3409652709961,795.273681640625,52.94064712524414,82.31736755371094,26.393641878763834,0.6586874159369743,5,0,0,0,0.0,9,,,
thermal_high_start,2008,active,81.3409652709961,802.91357421875,52.773067474365234,81.3409652709961,27.545926246643067,4.444455577309907,4,0,0,15,0.0,9,0.0,0.0,0.0
thermal_high_start,2009,none,80.30113220214844,351.5204772949219,60.789405822753906,84.6402587890625,26.169380346934002,0.5390535236709774,2,0,0,0,0.0,10,,,
thermal_high_start,2009,active,80.30113220214844,351.5188293457031,60.765533447265625,81.60171508789062,27.336218630472818,4.023508661441049,2,0,0,19,0.0,10,0.0,0.0,0.0
